restaurant_id,restaurant_name,image_url,is_closed,url,review_count,rating,categories,transactions,price,display_phone,distance,coordinates_latitude,coordinates_longitude,location_address1,location_address2,location_address3,location_city,location_zip_code,location_country,location_state,location_display_address,queried_date,queried_term,queried_location,sort_by,attributes,cuisine_0,cuisine_1,cuisine_2,price_num,review_count_bins,neighborhood
dBrsxwTPyMHFLsSAGJuTVA,Sophie's Cuban Cuisine - Flatiron,https://s3-media3.fl.yelpcdn.com/bphoto/2z-cKePMyznTSRaxAjENyg/o.jpg,False,https://www.yelp.com/biz/sophie-s-cuban-cuisine-flatiron-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,19,4.0,"Cuban, Salad, Sandwiches","pickup, delivery",,(646) 484-6045,3976.9341883867496,40.741207,-73.993649,664 6th Ave,,,New York,10010,US,NY,"664 6th Ave, New York, NY 10010",,,,,,Cuban, Salad, Sandwiches,,11-50,Gramercy Park and Murray Hill
jk8ek5ncBsFGlzRePGrNqA,Sophie’s Cuban,https://s3-media2.fl.yelpcdn.com/bphoto/L-bRjOFJkfZmmQM5-iYd2g/o.jpg,False,https://www.yelp.com/biz/sophie-s-cuban-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,7,4.0,"Cuban, Empanadas, Sandwiches",,,(212) 349-8196,1484.4506228438738,40.71608792311061,-74.004925,325 Broadway,,,New York,10007,US,NY,"325 Broadway, New York, NY 10007",,,,,,Cuban, Empanadas, Sandwiches,,0-10,Lower Manhattan
lQKnVAB9E4mhVlJc6sxwVQ,Havana's Cuban Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/wzSKAq17JJRJVsAnUEGWVQ/o.jpg,False,https://www.yelp.com/biz/havanas-cuban-cafe-edgewater?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,146,3.5,"Cuban, Salad, Sandwiches","pickup, delivery",$$,(201) 886-2100,13223.272990105694,40.823548,-73.975923,824 River Rd,,,Edgewater,7020,US,NJ,"824 River Rd, Edgewater, NJ 07020",,,,,,Cuban, Salad, Sandwiches,2.0,101-200,
hgsodKhYFrzhZX5-DLc8QA,Son Cubano Restaurant On The Hudson,https://s3-media4.fl.yelpcdn.com/bphoto/gHGqo5rwzheMlEizm5eatQ/o.jpg,False,https://www.yelp.com/biz/son-cubano-west-new-york-4?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,1363,3.0,"Cuban, Venues & Event Spaces","pickup, delivery",$$$,(201) 399-2020,8500.678070888549,40.7814025762396,-74.005708694458,40-4 Riverwalk Pl,,,West New York,7093,US,NJ,"40-4 Riverwalk Pl, West New York, NJ 07093",,,,,,Cuban, Venues & Event Spaces,,3.0,1001-5000,
eqTk_mQPCxZl9dnc-kDQgg,Grandchamps Brooklyn Navy Yard,https://s3-media1.fl.yelpcdn.com/bphoto/RatO5X1eTPqayiS3paK_aA/o.jpg,False,https://www.yelp.com/biz/grandchamps-brooklyn-navy-yard-brooklyn?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,5,4.0,"Haitian, Breakfast & Brunch",delivery,,(718) 885-7388,2114.894367070953,40.6982018370924,-73.9710953725855,141 Flushing Ave,"Ste 110, Bldg 77",,Brooklyn,11205,US,NY,"141 Flushing Ave, Ste 110, Bldg 77, Brooklyn, NY 11205",,,,,,Haitian, Breakfast & Brunch,,,0-10,Northwest Brooklyn
n2Dddm0GzlrIkmg56fV-fg,La P'tite Baguette Shop,https://s3-media1.fl.yelpcdn.com/bphoto/LWilKm79HOxyUY1_81wpCg/o.jpg,False,https://www.yelp.com/biz/la-ptite-baguette-shop-cambria-heights?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,36,4.5,"Bakeries, Haitian, Coffee & Tea",delivery,$,(718) 977-1169,22181.43742282107,40.6923436764904,-73.7317424196434,229-24 Linden Blvd,,,Cambria Heights,11411,US,NY,"229-24 Linden Blvd, Cambria Heights, NY 11411",,,,,,Bakeries, Haitian, Coffee & Tea,1.0,11-50,Southeast Queens
SB4crLLqZy4RdoA3e7yDNA,Dawn’s ‘Til Dusk,https://s3-media1.fl.yelpcdn.com/bphoto/4lzduwzhnxvjn6sCjMHAxg/o.jpg,False,https://www.yelp.com/biz/dawn-s-til-dusk-brooklyn?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,22,4.0,"Coffee & Tea, Bakeries, Sandwiches","pickup, delivery",,(212) 675-4996,389.0083282876362,40.70348090710794,-73.99047416118952,33 Main St,,,Brooklyn,11201,US,NY,"33 Main St, Brooklyn, NY 11201",,,,,,Coffee & Tea, Bakeries, Sandwiches,,11-50,Northwest Brooklyn
LsPlBRWerGGKC-0cWu46Lw,Red Hook Food,https://s3-media2.fl.yelpcdn.com/bphoto/VZ1veKas8JgqlYFd_O2nQw/o.jpg,False,https://www.yelp.com/biz/red-hook-food-brooklyn?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,34,5.0,"Sandwiches, Grocery",,,(347) 721-3665,3477.9992744542656,40.67464,-74.00173,603 Clinton St,,,Brooklyn,11231,US,NY,"603 Clinton St, Brooklyn, NY 11231",,,,,,Sandwiches, Grocery,,,11-50,Northwest Brooklyn
46DAI5tOgV9GjjRpz7xeHA,Paradise Gourmet Deli,https://s3-media3.fl.yelpcdn.com/bphoto/yzyOMuYCXB_iICmX4gT2lw/o.jpg,False,https://www.yelp.com/biz/paradise-gourmet-deli-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,3,4.5,Delis,pickup,,,2770.962993587016,40.72760683483381,-73.97925903198755,175 Avenue B,,,New York,10009,US,NY,"175 Avenue B, New York, NY 10009",,,,,,Delis,,,,0-10,Lower East Side
Q9y0RDbc66U45fmKNbRRZw,Shinjuku Japanese Deli,https://s3-media4.fl.yelpcdn.com/bphoto/Aum-x9_BLvCP5-YApqkLKA/o.jpg,False,https://www.yelp.com/biz/shinjuku-japanese-deli-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,19,4.0,"International Grocery, Delis","pickup, delivery",,,916.0263145006376,40.70745069972529,-74.00483340211731,127 John St,,,New York,10038,US,NY,"127 John St, New York, NY 10038",,,,,,International Grocery, Delis,,,11-50,Lower Manhattan
wuJ-yA95dTw_zqsfVeOUsQ,Regina's Grocery,https://s3-media1.fl.yelpcdn.com/bphoto/2QvehPAdHONrCq-xjkB6CA/o.jpg,False,https://www.yelp.com/biz/reginas-grocery-new-york-3?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,9,4.5,"Sandwiches, Grocery",,,(917) 261-5792,8966.644711036337,40.77899,-73.95059,300 E 88th St,,,New York,10128,US,NY,"300 E 88th St, New York, NY 10128",,,,,,Sandwiches, Grocery,,,0-10,Upper East Side
USWkf_B93v_8e2K4mh0yiw,Ariston Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/4DCMGL_7W6eA4Skh_SkBhQ/o.jpg,False,https://www.yelp.com/biz/ariston-cafe-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,78,4.5,"Coffee & Tea, Sandwiches",,$$,(212) 929-4226,3377.6034690823594,40.735796,-73.994181,78 5th Ave,,,New York,10011,US,NY,"78 5th Ave, New York, NY 10011",,,,,,Coffee & Tea, Sandwiches,,2.0,51-100,Chelsea and Clinton
ozi4GUi9NgLznGiQdpQM4Q,The Canuck,https://s3-media1.fl.yelpcdn.com/bphoto/0AyHIeKUYGZYGLBSJGv64w/o.jpg,False,https://www.yelp.com/biz/the-canuck-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,26,4.5,"Burgers, Sports Bars, Sandwiches","pickup, delivery",,,4548.175781565129,40.74599059521316,-74.00140899868893,202 9th Ave,,,New York,10011,US,NY,"202 9th Ave, New York, NY 10011",,,,,,Burgers, Sports Bars, Sandwiches,,11-50,Chelsea and Clinton
